,0
20,"19,Kyle Connor,WPG,27,F,20,14,9,23,2,-8,20:40,16:50,3:46,0:02,11,3,0,5,0,3,6,0,2,1,14,9,0,7,1,39.1%,2.032,1.306,3.339,1.959,0.534,2.493,2.385,4.770,7.155,0.700,0.450,1.150,82,17.1%,2,7,0,0,0.00%"
21,"20,Steven Stamkos,TBL,33,F,19,9,14,23,6,-10,18:15,14:23,3:50,0:01,5,4,0,0,0,4,10,0,1,0,9,14,0,1,0,60.9%,1.556,2.421,3.977,1.097,0.878,1.975,3.282,8.204,11.486,0.474,0.737,1.211,62,14.5%,15,6,65,58,52.85%"
22,"21,Mark Scheifele,WPG,30,F,20,7,16,23,13,-3,20:36,17:01,3:33,0:01,4,3,0,1,1,12,4,0,3,0,16,7,0,4,1,30.4%,1.019,2.329,3.348,0.705,2.115,2.820,2.532,3.376,5.907,0.350,0.800,1.150,50,14.0%,12,10,195,182,51.72%"
23,"22,Jake Guentzel,PIT,29,F,20,7,16,23,8,8,19:43,16:24,3:12,0:05,7,0,0,2,0,13,3,0,1,0,20,3,0,3,0,13.0%,1.065,2.434,3.499,1.279,2.376,3.655,0.000,2.802,2.802,0.350,0.800,1.150,67,10.5%,12,9,1,6,14.29%"
24,"23,Jack Hughes,NJD,22,F,14,6,17,23,4,-2,20:40,17:23,3:13,0:03,3,3,0,1,1,8,9,0,1,0,11,12,0,2,1,52.2%,1.244,3.525,4.769,0.740,1.972,2.712,3.981,11.942,15.923,0.429,1.214,1.643,58,10.3%,2,6,55,99,35.71%"
25,"24,Zach Hyman,EDM,31,F,20,12,10,22,16,1,19:34,15:48,3:33,0:11,8,4,0,3,0,8,2,0,1,1,16,6,0,4,1,27.3%,1.840,1.533,3.373,1.517,1.517,3.035,3.365,1.683,5.048,0.600,0.500,1.100,64,18.8%,19,15,3,6,33.33%"
26,"25,Brandon Hagel,TBL,25,F,21,10,12,22,10,2,18:30,14:55,1:23,2:11,10,0,0,1,1,8,4,0,0,0,18,4,0,1,1,18.2%,1.544,1.853,3.397,1.915,1.532,3.447,0.000,8.200,8.200,0.476,0.571,1.048,51,19.6%,9,13,9,9,50.00%"
27,"26,Robert Thomas,STL,24,F,20,8,14,22,4,7,20:00,15:03,3:18,1:37,8,0,0,1,0,10,3,1,3,0,18,3,1,4,0,13.6%,1.200,2.100,3.300,1.593,1.991,3.584,0.000,2.720,2.720,0.400,0.700,1.100,45,17.8%,5,11,218,167,56.62%"
28,"27,Tim Stützle,OTT,21,F,16,5,17,22,8,5,22:15,16:46,4:28,0:59,5,0,0,1,1,12,5,0,1,0,17,5,0,2,1,22.7%,0.843,2.865,3.708,1.118,2.683,3.801,0.000,4.184,4.184,0.313,1.063,1.375,50,10.0%,21,7,50,51,49.50%"
29,"28,Victor Hedman,TBL,33,D,21,4,18,22,16,2,24:03,18:14,3:27,2:22,3,1,0,1,0,11,7,0,4,1,14,8,0,5,1,36.4%,0.475,2.137,2.612,0.470,1.723,2.193,0.828,5.794,6.622,0.190,0.857,1.048,37,10.8%,10,21,0,0,0.00%"
30,"29,Filip Hronek,VAN,26,D,22,2,20,22,12,13,24:33,20:11,1:53,2:27,0,2,0,0,0,14,6,0,4,0,14,8,0,4,0,36.4%,0.222,2.221,2.443,0.000,1.890,1.890,2.878,8.633,11.511,0.091,0.909,1.000,48,4.2%,19,27,0,0,0.00%"
31,"30,Auston Matthews,TOR,26,F,19,14,7,21,0,-1,21:14,16:32,3:26,1:15,9,5,0,0,0,5,2,0,1,0,14,7,0,1,0,33.3%,2.081,1.041,3.122,1.718,0.954,2.672,4.592,1.837,6.429,0.737,0.368,1.105,78,18.0%,27,22,154,153,50.16%"
32,"31,Mason McTavish,ANA,20,F,21,10,11,21,28,-3,17:17,14:40,2:33,0:03,7,2,1,3,1,7,4,0,2,1,14,6,1,5,2,28.6%,1.653,1.818,3.471,1.363,1.363,2.726,2.241,4.482,6.723,0.476,0.524,1.000,59,17.0%,7,13,177,131,57.47%"
33,"32,Dylan Larkin,DET,27,F,20,8,13,21,29,3,19:59,14:15,3:58,1:45,4,4,0,2,0,4,9,0,3,0,8,13,0,5,0,61.9%,1.201,1.951,3.152,0.842,0.842,1.684,3.014,6.782,9.797,0.400,0.650,1.050,70,11.4%,12,6,175,163,51.78%"
34,"33,Mats Zuccarello,MIN,36,F,19,5,16,21,6,-5,18:32,14:13,4:14,0:04,4,1,0,0,0,6,10,0,2,0,10,11,0,2,0,52.4%,0.852,2.725,3.577,0.888,1.333,2.221,0.743,7.435,8.178,0.263,0.842,1.105,53,9.4%,2,13,3,12,20.00%"
35,"34,Chris Kreider,NYR,32,F,20,13,7,20,6,6,18:47,13:41,3:22,1:43,4,7,2,3,0,5,2,0,2,1,9,9,2,5,1,45.0%,2.075,1.117,3.192,0.876,1.095,1.971,6.221,1.777,7.998,0.650,0.350,1.000,52,25.0%,18,6,7,15,31.82%"
36,"35,Frank Vatrano,ANA,29,F,21,13,7,20,31,1,18:27,13:53,2:09,2:25,7,5,1,3,1,6,1,0,1,0,13,6,1,4,1,30.0%,2.012,1.083,3.095,1.440,1.234,2.674,6.630,1.326,7.956,0.619,0.333,0.952,73,17.8%,39,20,1,3,25.00%"
37,"36,Alex DeBrincat,DET,26,F,20,12,8,20,6,7,17:51,14:03,3:46,0:01,9,3,0,1,0,6,2,0,3,0,15,5,0,4,0,25.0%,2.016,1.344,3.361,1.920,1.280,3.200,2.389,1.593,3.981,0.600,0.400,1.000,62,19.4%,9,5,1,5,16.67%"
38,"37,William Karlsson,VGK,30,F,21,9,11,20,6,9,17:30,12:35,2:31,2:24,7,1,1,0,0,8,3,0,2,0,15,4,1,2,0,20.0%,1.469,1.795,3.264,1.589,1.816,3.405,1.135,3.405,4.540,0.429,0.524,0.952,50,18.0%,5,13,166,114,59.29%"
39,"38,Adrian Kempe,LAK,27,F,19,8,12,20,16,12,18:51,13:18,3:41,1:50,7,0,1,1,0,7,5,0,2,0,14,5,1,3,0,25.0%,1.340,2.009,3.349,1.660,1.660,3.321,0.000,4.270,4.270,0.421,0.632,1.053,64,12.5%,22,9,1,0,100.00%"
40,"39,Jack Eichel,VGK,27,F,21,8,12,20,4,1,20:23,13:47,4:21,2:15,4,4,0,2,1,9,2,1,2,0,13,6,1,4,1,30.0%,1.121,1.681,2.801,0.829,1.864,2.693,2.626,1.313,3.939,0.381,0.571,0.952,88,9.1%,7,21,149,170,46.71%"
41,"40,John Tavares,TOR,33,F,19,7,13,20,2,1,18:42,15:22,3:18,0:01,6,1,0,3,1,8,5,0,0,0,14,6,0,3,1,30.0%,1.182,2.194,3.376,1.232,1.642,2.874,0.956,4.780,5.736,0.368,0.684,1.053,67,10.5%,21,8,221,135,62.08%"
42,"41,Kevin Fiala,LAK,27,F,19,6,14,20,16,-4,17:15,13:13,3:57,0:04,5,1,0,0,0,8,6,0,2,0,13,7,0,2,0,35.0%,1.098,2.563,3.661,1.194,1.910,3.103,0.799,4.794,5.593,0.316,0.737,1.053,51,11.8%,8,12,4,9,30.77%"
43,"42,Mitchell Marner,TOR,26,F,19,5,15,20,10,-3,21:16,15:34,3:27,2:15,4,1,0,1,0,9,6,0,0,0,13,7,0,1,0,35.0%,0.742,2.227,2.969,0.811,1.825,2.636,0.915,5.488,6.402,0.263,0.789,1.053,44,11.4%,17,16,0,3,0.00%"
44,"43,Evan Bouchard,EDM,24,D,20,5,15,20,8,-5,21:55,17:54,3:43,0:17,3,2,0,1,0,7,8,0,3,1,10,10,0,4,1,50.0%,0.684,2.052,2.736,0.502,1.172,1.675,1.613,6.452,8.065,0.250,0.750,1.000,60,8.3%,9,29,0,0,0.00%"
45,"44,Casey Mittelstadt,BUF,25,F,22,4,16,20,12,3,18:08,15:36,2:24,0:06,4,0,0,0,0,13,3,0,3,0,17,3,0,3,0,15.0%,0.602,2.406,3.008,0.699,2.270,2.969,0.000,3.387,3.387,0.182,0.727,0.909,30,13.3%,4,10,135,174,43.69%"
46,"45,Trevor Moore,LAK,28,F,19,11,8,19,10,5,16:45,12:45,2:30,1:28,8,2,1,2,0,5,3,0,2,0,13,5,1,4,0,26.3%,2.074,1.508,3.582,1.981,1.238,3.218,2.510,3.766,6.276,0.579,0.421,1.000,53,20.8%,11,6,3,12,20.00%"
47,"46,Anze Kopitar,LAK,36,F,19,10,9,19,6,11,19:28,13:32,3:51,2:04,7,3,0,3,0,6,2,1,0,0,13,5,1,3,0,26.3%,1.621,1.459,3.080,1.632,1.399,3.030,2.460,1.640,4.099,0.526,0.474,1.000,41,24.4%,8,17,213,168,55.91%"
48,"47,Evander Kane,EDM,32,F,20,10,9,19,40,-5,18:23,15:38,1:45,1:00,8,1,1,2,1,7,2,0,0,0,15,3,1,2,1,15.8%,1.632,1.468,3.100,1.535,1.343,2.878,1.714,3.429,5.143,0.500,0.450,0.950,66,15.2%,76,6,6,11,35.29%"
49,"48,Joe Pavelski,DAL,39,F,19,9,10,19,2,-1,16:27,13:32,2:51,0:03,5,4,0,1,1,8,2,0,1,0,13,6,0,2,1,31.6%,1.726,1.918,3.644,1.166,1.866,3.033,4.408,2.204,6.612,0.474,0.526,1.000,49,18.4%,17,17,79,78,50.32%"
50,"49,Valeri Nichushkin,COL,28,F,20,9,10,19,12,7,19:39,14:29,2:55,2:14,4,5,0,0,0,8,0,2,2,0,12,5,2,2,0,26.3%,1.373,1.526,2.899,0.828,1.656,2.483,5.140,0.000,5.140,0.450,0.500,0.950,56,16.1%,21,8,1,2,33.33%"
51,"50,Charlie Coyle,BOS,31,F,21,9,10,19,12,3,17:16,13:20,1:06,2:49,7,2,0,0,0,10,0,0,1,0,17,2,0,1,0,10.5%,1.489,1.654,3.143,1.499,2.142,3.641,5.154,0.000,5.154,0.429,0.476,0.905,42,21.4%,22,17,201,179,52.89%"
